Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Total_Sales
Candace Kane's Candy Factory,DS,2008,Action,Destineer,0.04,0.0,0.0,0.0,0.04
The Munchables,Wii,2009,Action,Namco Bandai Games,0.17,0.0,0.0,0.01,0.18
Otome wa Oanesama Boku ni Koi Shiteru Portable,PSP,2010,Adventure,Alchemist,0.0,0.0,0.02,0.0,0.02
Deal or No Deal: Special Edition,DS,2010,Misc,Zoo Games,0.04,0.0,0.0,0.0,0.04
Ben 10 Ultimate Alien: Cosmic Destruction,PS3,2010,Platform,D3Publisher,0.12,0.09,0.0,0.04,0.25
Power Pro Kun Pocket 8,DS,2005,Sports,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14
JASF: Jane's Advanced Strike Fighters,PC,2011,Simulation,Deep Silver,0.02,0.01,0.0,0.0,0.03
Samurai Warriors: State of War,PSP,2005,Action,Tecmo Koei,0.07,0.0,0.11,0.01,0.19
Imabikisou,PS3,2007,Adventure,Sega,0.0,0.0,0.04,0.0,0.04
The Penguins of Madagascar: Dr. Blowhole Returns - Again!,PS3,2011,Action,THQ,0.04,0.03,0.0,0.01,0.08
Ford Racing,PS,2001,Racing,Empire Interactive,0.48,0.33,0.0,0.06,0.87
Harvest Moon: More Friends of Mineral Town,GBA,2003,Simulation,Ubisoft,0.14,0.05,0.0,0.0,0.19
Mount & Blade,PC,2008,Role-Playing,Paradox Interactive,0.0,0.02,0.0,0.0,0.02
The Professor's Brain Trainer: Logic,DS,2005,Puzzle,505 Games,0.02,0.0,0.0,0.0,0.02
Zoids Dash,DS,2006,Role-Playing,Tomy Corporation,0.0,0.0,0.02,0.0,0.02
Mini Ninjas,PS3,2009,Action,Eidos Interactive,0.14,0.16,0.0,0.06,0.36
Rise of Nations,PC,2003,Strategy,Microsoft Game Studios,0.01,0.02,0.0,0.01,0.04
Hajime no Ippo: The Fighting! (2014),PS3,2014,Sports,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03
Grand Kingdom,PS4,2015,Role-Playing,Nippon Ichi Software,0.02,0.0,0.03,0.0,0.05
Tropico Reloaded,PC,2009,Strategy,Kalypso Media,0.0,0.02,0.0,0.0,0.02
Ty the Tasmanian Tiger,PS2,2002,Platform,Electronic Arts,0.57,0.45,0.0,0.15,1.17
Ghost in the Shell,PS,1997,Simulation,Sony Computer Entertainment,0.06,0.04,0.0,0.01,0.11
Cabela's Dangerous Hunts 2,XB,2005,Sports,Activision,0.08,0.02,0.0,0.0,0.1
Don Bradman Cricket 14,X360,2014,Sports,Tru Blu Entertainment,0.0,0.01,0.0,0.0,0.01
Injustice: Gods Among Us,PS3,2013,Fighting,Warner Bros. Interactive Entertainment,0.48,0.53,0.01,0.23,1.25
Dr. Muto,GC,2002,Platform,Midway Games,0.02,0.01,0.0,0.0,0.03
Starwinder: The Ultimate Space Race,PS,1996,Racing,Mindscape,0.03,0.02,0.0,0.0,0.05
World of Tanks,PC,2011,Shooter,Wargaming.net,0.0,0.23,0.0,0.06,0.29
Famicom Mini: Makaimura,GBA,2004,Platform,Capcom,0.0,0.0,0.08,0.0,0.08
McGrath Vs. Pastrana Freestyle Motocross,PS,2000,Racing,Acclaim Entertainment,0.14,0.1,0.0,0.02,0.26
Kids Learn Music A+ Edition,DS,2011,Misc,Unknown,0.05,0.0,0.0,0.0,0.05
Project Sylpheed: Arc of Deception,X360,2006,Shooter,Microsoft Game Studios,0.12,0.01,0.02,0.01,0.16
Mario & Luigi: Paper Jam & Mario Kart 7 Double Pack,3DS,2015,Misc,Nintendo,0.0,0.0,0.01,0.0,0.01
Mega Man Anniversary Collection,PS2,2004,Platform,Capcom,0.29,0.22,0.0,0.08,0.59
G-Force,Wii,2009,Action,Disney Interactive Studios,0.19,0.2,0.0,0.05,0.44
Advance Wars: Dual Strike,DS,2005,Strategy,Nintendo,0.3,0.03,0.04,0.03,0.4
Beamrider,2600,1984,Racing,Activision,0.26,0.01,0.0,0.0,0.27
Ninja Reflex,Wii,2008,Action,Electronic Arts,0.11,0.01,0.0,0.01,0.13
FIFA World Cup Germany 2006,XB,2006,Sports,Electronic Arts,0.18,0.05,0.0,0.01,0.24
Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.86
Knights of Honor,PC,2004,Strategy,Sunflowers,0.0,0.02,0.0,0.01,0.03
Phoenix Wright: Ace Attorney - Trials and Tribulations,DS,2007,Adventure,Capcom,0.33,0.05,0.25,0.04,0.67
Shugo Chara! 3-tsu no Tamagoto Koisuru Joker,DS,2008,Action,Konami Digital Entertainment,0.0,0.0,0.05,0.0,0.05
Crysis 3,X360,2013,Shooter,Electronic Arts,0.51,0.33,0.01,0.08,0.93
Resident Evil: Revelations 2,PS3,2015,Action,Capcom,0.06,0.08,0.16,0.03,0.33
Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,SAT,1998,Sports,Sega,0.0,0.0,0.12,0.0,0.12
Sega Soccer Slam,PS2,2002,Sports,Sega,0.06,0.05,0.0,0.02,0.13
Hellboy: The Science of Evil,PS3,2008,Action,Konami Digital Entertainment,0.13,0.02,0.0,0.02,0.17
Dreamworks Madagascar Kartz,X360,2009,Racing,Activision,0.14,0.09,0.0,0.02,0.25
Chaotic: Shadow Warriors,Wii,2009,Action,Activision,0.18,0.0,0.0,0.01,0.19
Mega Man Xtreme 2,GB,2001,Platform,Capcom,0.0,0.0,0.07,0.0,0.07
IL-2 Sturmovik: Birds of Prey,PS3,2009,Simulation,505 Games,0.34,0.26,0.0,0.1,0.7
Rockin' Pretty,DS,2009,Misc,Arc System Works,0.05,0.0,0.0,0.0,0.05
SpongeBob's Boating Bash,Wii,2010,Misc,THQ,0.25,0.07,0.0,0.03,0.35
Sébastien Loeb Rally Evo,PS4,2016,Racing,Milestone S.r.l,0.0,0.04,0.0,0.01,0.05
Sekai no Hate Made Itte Q! Chinjuu Hunter Mono no Daibouken,DS,2010,Misc,Kamui,0.0,0.0,0.03,0.0,0.03
